rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.12563193451571,86.35885068191857,001226,拓山重工,bottom_area,2025-08-13,35.9,2025-08-08,35.53,1.0413734871939135,3.405572755417959,31.699346405228763,False,-1.1019,2.6269,4,4,4,100.0,24.15689372430483,41.451766953199616,8.958626512806086,1.0413734871939135,历史4/4次成功; 当前距低点1.04%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
12,77.30980964633595,74.0924816021233,600620,天宸股份,bottom_area,2025-08-13,6.31,2025-08-04,6.14,2.76872964169381,4.560260586319222,27.078384798099762,False,-0.4732,1.1982,1,1,1,100.0,29.38271604938273,29.38271604938273,7.231270358306191,2.76872964169381,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
13,75.66988481256197,69.76837628632427,300069,金利华电,bottom_area,2025-08-13,21.8,2025-08-12,21.64,0.739371534195934,7.208872458410346,29.671758206044846,False,-3.7952,19.8386,1,1,1,100.0,31.312598840274124,31.312598840274124,9.260628465804066,0.739371534195934,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-3.80%; 状态bottom_area; 底部未确认
14,75.19203503718856,74.3846760353576,002987,京北方,bottom_area,2025-08-13,20.73,2025-08-08,19.85,4.433249370277072,5.692695214105789,28.339350180505406,False,0.7778,8.2537,1,1,1,100.0,28.88432580424366,28.88432580424366,5.566750629722928,4.433249370277072,历史1/1次成功; 当前距低点4.43%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
15,74.69727681417392,72.69198079231691,603928,兴业股份,bottom_area,2025-08-13,15.66,2025-08-01,15.12,3.5714285714285774,5.75396825396826,32.16689098250337,False,-0.7605,2.6111,1,1,1,100.0,31.69267707082834,31.69267707082834,6.428571428571423,3.5714285714285774,历史1/1次成功; 当前距低点3.57%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
16,74.01527538557366,71.71703632990753,002287,奇正藏药,bottom_area,2025-08-13,28.74,2025-08-08,27.81,3.3441208198489747,9.492988133764834,27.122641509433958,True,-3.1345,3.88,1,1,1,100.0,24.686192468619257,24.686192468619257,6.655879180151025,3.3441208198489747,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-3.13%; 状态bottom_area; 底部已确认
17,73.73873357775408,71.95524694971363,000999,华润三九,bottom_area,2025-08-13,31.55,2025-07-15,30.42,3.7146614069690957,7.133464825772523,30.036798528058867,True,-0.3789,0.9131,1,1,1,100.0,20.293951384963254,20.293951384963254,6.285338593030905,3.7146614069690957,历史1/1次成功; 当前距低点3.71%; 最新日涨幅-0.38%; 状态bottom_area; 底部已确认
18,72.36903170588421,72.13076192175829,002041,登海种业,bottom_area,2025-08-13,9.99,2025-06-23,9.53,4.826862539349432,7.345225603357829,29.719764011799416,True,-0.1998,1.0565,2,2,2,100.0,18.2043468358871,21.395106715252467,5.173137460650568,4.826862539349432,历史2/2次成功; 当前距低点4.83%; 最新日涨幅-0.20%; 状态bottom_area; 底部已确认
19,66.84729090489326,61.793866266604766,002775,文科股份,bottom_area,2025-08-13,4.61,2025-08-13,4.57,0.8752735229759306,2.4070021881837946,28.59375,False,-1.073,11.5336,2,3,2,66.66666666666666,18.77861952861953,26.909090909090917,9.124726477024069,0.8752735229759306,历史2/3次成功; 当前距低点0.88%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
20,64.88958257473945,63.92599225037715,603121,华培动力,confirmed_rebound,2025-08-13,19.04,2025-08-08,18.27,4.214559386973178,10.016420361247958,27.44241461477363,True,-1.3472,2.8297,2,3,2,66.66666666666666,32.35763970972757,46.435709526982016,5.7854406130268226,4.214559386973178,历史2/3次成功; 当前距低点4.21%; 最新日涨幅-1.35%; 状态confirmed_rebound; 底部已确认
21,63.357932059797605,61.83144958680914,605099,共创草坪,bottom_area,2025-08-13,31.23,2025-08-08,30.11,3.719694453669881,4.118233145134513,27.93202489229297,False,1.495,0.9122,1,2,1,50.0,44.31372549019606,44.31372549019606,6.28030554633012,3.719694453669881,历史1/2次成功; 当前距低点3.72%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
22,53.6795695256001,52.888110131033564,000514,渝开发,bottom_area,2025-08-13,5.68,2025-08-06,5.45,4.220183486238524,6.605504587155952,27.13903743315508,False,-0.8726,4.1563,1,2,1,50.0,24.839400428265527,24.839400428265527,5.779816513761476,4.220183486238524,历史1/2次成功; 当前距低点4.22%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
23,53.46389285999823,53.13880838517131,000637,茂化实华,bottom_area,2025-08-13,4.25,2025-07-07,4.06,4.679802955665035,7.142857142857144,27.370304114490168,True,-0.9324,2.6606,1,2,1,50.0,22.627737226277358,22.627737226277358,5.320197044334965,4.679802955665035,历史1/2次成功; 当前距低点4.68%; 最新日涨幅-0.93%; 状态bottom_area; 底部已确认
